Latitude | Longitude | Name
42.2875721 | 23.1288712 | Яхиново
42.2607859 | 26.5982421 | гара Бояново
42.6525326 | 23.4698603 | гара Казичене
42.2911125 | 25.9267803 | гара Раднево
42.4980940 | 26.2636811 | ж.п гара Кермен
42.5959730 | 26.7340762 | ж.п спирка Атолово
43.4260695 | 26.9092311 | ж.п. гара Хитрино
42.4602727 | 26.3875562 | ж.п.гара Безмер
43.1545213 | 23.9213872 | жп Гара Роман
42.3555722 | 25.9568726 | жп гара Любенова махала
42.4447436 | 25.8453238 | жп гара Хан Аспарухово
43.0864143 | 23.3926016 | жп школа Лакатник
42.1323458 | 24.9753058 | сп. Чешнегирово
42.0765208 | 25.4457851 | сп. Ябълково
42.1000644 | 24.8466674 | сп. Ягодово
42.6411633 | 23.5211791 | спирка Верила
42.6009648 | 23.6375674 | спирка Побит камък
